Timestamp,What is your favorite Pokemon?,What is your least favorite Pokemon?,What Main Series Games have you played?,What is your Favorite Main Series Game?,What is your favorite Pokemon Type?,What is your least favorite Type?,What is your favorite Pokemon from Kanto?,Who is your favorite Kanto Gym Leader?,Who is your favorite member of the Kanto Elite Four?,What is your favorite town/city in Kanto?,What is your favorite Pokemon from Johto?,Who is your favorite Johto Gym Leader,Who is your favorite Johto Elite Four,What is your favorite town/city in Johto?,What is your favorite Pokemon from Hoenn?,Who is your favorite gym leader from Hoenn?,Who is your favorite Elite Four member from Hoenn?,Who is your favorite Frontier Brain from Hoenn?,What is your favorite town/city in Hoenn?,Column25,What is your favorite Pokemon from Sinnoh?,Who is your favorite Gym Leader from Sinnoh?,Column28,Who is your favorite Elite Four Member from Sinnoh?,Who is your favorite Frontier Brain from Sinnoh?,What is your favorite town/city in Sinnoh?,What is your favorite Pokemon from Unova?,Who is your favorite Gym Leader from Unova?,Who is your favorite Member of the Elite Four from Unova?,What is your favorite town/city from Unova?,What is your favorite Pokemon from Kalos?,Who is your favorite Gym Leader from Kalos?,Who is your favorite Member of the EIite Four in Kalos?,What is your favorite city/town in Kalos?,What is your favorite Pokemon from Alola?,Who is your favorite Trial Captain from Alola?,What is your favorite town/city in Alola?,WhatisyourfavoriteNormalType?,FightingType?,FlyingType,Poison Type?,Ground Type?,Rock Type?,Bug Type?,Ghost Type?,Steel Type?,Fire Type?,Water Type?,Grass Type?,Electric Type?,Psychic Type?,Ice Type?,Dragon Type?,Dark Type?,Fairy Type?,Kanto Starter?,Johto Starter?,Hoenn Starter?,Sinnoh Starter?,Unova Starter?,Kalos Starter?,Alola Starter?,Fossil,Column1,Eeveelution?,Kanto Elemental Bird Trio,Johto Beasts Trio,Johto Tower Duo,Hoenn Weather Trio,Hoenn Golem Trio,Sinnoh Creation Trio,Sinnoh Lake Guardians,Unova Musketeers,Unova Forces of Nature,Unova Tao Trio,Kalos Aura Trio,Alola Island Guardians,Alola Ultra Beasts,Mythics,Solgaleo or Lunala,Latias or Latios
6/30/2017 17:03:53,Houndoom,Diggersby,"Sapphire, Fire Red, Leaf Green, Diamond, Platinum, SoulSilver, Black, White 2, X, Omega Ruby, Sun",X,Ice,Bug,Blastoise,Giovanni,Lance,Saffron,Houndoom,Pryce,Will,Goldenrod,Aggron,Wattson,Phoebe,Brandon,Mauville,533,Garchomp,Crasher Wake,379,Flint,Darach,Veilstone,Zoroark,Drayden,Caitlin,Driftveil,Avalugg,Clemont,Drasna,Lumiose,Vikavolt,Kiawe,Po Town,Heliolisk,Machamp,Gliscor,Toxicroak,Mamoswine,Tyranitar,Scizor,Aegislash,Aggron,Infernape,Empoleon,Leafeon,Electivire,Malamar,Avalugg,Garchomp,Houndoom,Gardevoir,Squirtle,Cyndaquil,Torchic,Piplup,Tepig,Froakie,Rowlet,Sail (Amaura),459,Leafeon,Articuno,Suicune,Ho-oh,Rayquaza,Registeel,Palkia,Uxie,Virizion,Landorus,Zekrom,Xerneas,Tapu Koko,Buzzwole,Mew,Solgaleo,
6/30/2017 16:36:38,,,"Red, Blue, Yellow, Crystal, Ruby, Sapphire, Emerald, Fire Red, Leaf Green, Diamond, Platinum, SoulSilver, White, X, Alpha Sapphire, Sun, Moon",Ruby,Water,Normal,Squirtle,Erika,Lance,Celadon,Suicune,Jasmine,Bruno,Goldenrod,Flygon,Wallace,Drake,Anabel,Mauville,121,Rampardos,Volkner,379,Lucian,Argenta,Veilstone,Krookodile,Skyla,Marshal,Nimbasa,Sylveon,Clemont,Malva,Laverre,Vikavolt,Sophocles,Paniola,,,,,,,,,,,,,,,,,,,Squirtle,Cyndaquil,Treecko,Turtwig,Oshawott,Fenniken,Litten,,459,Umbreon,,Suicune,,,,,,,,,,,,,,
6/30/2017 16:32:41,Aggron,Trubbish,"Sapphire, Emerald, Fire Red, Diamond, Platinum, Black, Black 2, X, Y, Omega Ruby, Sun",Omega Ruby,Steel,Fairy,Pidgeot,Blaine,Lance,Vermilion,Feraligatr,Morty,Koga,Cherrygrove,Aggron,Winona,Drake,Lucy,Ever Grande,533,Garchomp,Candice,846,Flint,Thorton,Sunyshore,Haxorus,Skyla,Caitlin,Nimbasa,Noivern,Grant,Siebold,Ambrette,Rowlet,Mallow,Hau'oli,Castform,Mankey,Gyarados,Toxicroak,Swampert,Omanyte,Buzzwole,Gengar,Aggron,Charizard,Feraligatr,Sceptile,Rotom,Latios,Glalie,Garchomp,Crawdaunt,Mimikyu,Charmander,Totodile,Treecko,Piplup,Oshawott,Chespin,Rowlet,Skull (Cranidos),615,Glaceon,Articuno,Suicune,Lugia,Rayquaza,Registeel,Giratina,Azelf,Cobalion,Thundurus,Kyurem,Xerneas,Tapu Lele,Buzzwole,Meloetta,Cosmog,Latios
6/30/2017 16:25:08,Bulbasaur,Landorus,"Red, Blue, Yellow, Gold, Silver, Crystal, Ruby, Fire Red, Diamond, Platinum, HeartGold, SoulSilver, White, White 2, X, Y, Omega Ruby, Sun",SoulSilver,Grass,Fairy,Bulbasaur,Koga,Lance,Fuchsia,Lugia,Clair,Koga,Blackthorn,Swampert,Flannery,Drake,,Fortree,536,Infernape,Crasher Wake,846,Aaron,,Celestic,Galvantula,Elesa,Grimsley,Opelucid,Greninja,Valerie,Malva,Laverre,Kommo-o,Acerola,Seafolk,Zangoose,Infernape,Articuno,Crobat,Mamoswine,Aerodactyl,Heracross,Dusknoir,Aggron,Charizard,Swampert,Bulbasaur,Galvantula,Lugia,Lapras,Noivern,Greninja,Togekiss,Bulbasaur,Cyndaquil,Mudkip,Chimchar,Oshawott,Froakie,Rowlet,Old Amber (Aerodactyl),507,Vaporeon,Articuno,Entei,Lugia,Groudon,Regirock,Giratina,Azelf,Keldeo,Tornadus,Zekrom,Yveltal,Tapu Koko,Buzzwole,Darkrai,Solgaleo,Latios
6/30/2017 16:20:06,Solgaleo,Ditto,"Red, Green, Blue, Yellow, Gold, Silver, Crystal, Ruby, Sapphire, Emerald, Fire Red, Leaf Green, Diamond, Pearl, Platinum, HeartGold, SoulSilver, Black, White, Black 2, White 2, X, Y, Omega Ruby, Alpha Sapphire, Sun, Moon",Sun,Dragon,Normal,Mewtwo,Blue,Lance,Pallet,Ho-oh,Pryce,Karen,New Bark,Rayquaza,Tate & Liza,Phoebe,Brandon,Mauville,345,Arceus,Fantina,379,Aaron,Argenta,Twinleaf,Kyurem,Cilan,Marshal,Black City/White Forest,Volcanion,Olympia,Malva,Lumiose,Marshadow,Nanu,Tapu Village,,,,,,,,,,,,,,,,,,,Charmander,Cyndaquil,Mudkip,Piplup,Tepig,Froakie,Popplio,Dome (Kabuto),133,,Moltres,Suicune,Lugia,Rayquaza,Registeel,Palkia,Mesprit,Keldeo,Landorus,Kyurem,Zygarde,Tapu Koko,Necrozma,Marshadow,Solgaleo,Latios
6/30/2017 16:10:07,Mimikyu,Guzzlord,"Red, Green, Blue, Yellow, Silver, Crystal, Sapphire, Emerald, Fire Red, Leaf Green, Diamond, Pearl, Platinum, HeartGold, SoulSilver, Black, White, Black 2, White 2, X, Y, Omega Ruby, Alpha Sapphire, Sun, Moon",Moon,Fairy,Rock,Eevee,Erika,Lorelei,Celadon,Umbreon,Jasmine,Koga,Goldenrod,Gardevoir,Flannery,Phoebe,Anabel,Lilycove,374,Lucario,Maylene,277,Lucian,Thorton,Snowpoint,Zorua,Iris,Grimsley,Castelia,Sylveon,Korrina,Malva,Lumiose,Mimikyu,Acerola,Hau'oli,Eevee,Lucario,Swellow,Toxapex,Flygon,Lycanroc,Ariados,Mimikyu,Lucario,Braixen,Feraligatr,Venusaur,Rotom,Gardevoir,Articuno,Salamence,Umbreon,Mimikyu,Bulbasaur,Totodile,Treecko,Piplup,Snivy,Fenniken,Popplio,Helix (Omanyte),615,Sylveon,Articuno,Suicune,Ho-oh,Kyogre,Regice,Dialga,Azelf,Virizion,Thundurus,Reshiram,Xerneas,Tapu Lele,Kartana,Jirachi,Lunala,Latias
6/30/2017 16:07:57,,,"Red, Gold, Ruby, Fire Red, Diamond, SoulSilver, Black, Moon",Gold,Ice,Rock,Lapras,Lt. Surge,Lance,Pallet,Umbreon,Bugsy,Koga,Azalea,Jirachi,Roxanne,Glacia,Lucy,Rustboro,536,Piplup,Gardenia,379,Lucian,Palmer,Twinleaf,,,,,,,,,Rowlet,Kiawe,Paniola,Bidoof,Machop,Pidgey,Salazzle,Mudkip,Golem,Breloom,Mimikyu,Jirachi,Charizard,Piplup,Rowlet,Plusle,Raichu,Delibird,Tyranitar,Darkrai,Ribombee,Charmander,Totodile,Mudkip,Piplup,,,Rowlet,Old Amber (Aerodactyl),267,Umbreon,Articuno,Suicune,Ho-oh,Groudon,Regice,Dialga,,,,,,Tapu Fini,,Jirachi,,Latios
6/30/2017 15:57:21,Ninetales,Raticate,"Red, Blue, Silver, Sapphire, SoulSilver, Alpha Sapphire, Moon",Alpha Sapphire,Psychic,Grass,Ninetales,Sabrina,Agatha,Lavender,Espeon,Whitney,Koga,Violet,Latias,Tate & Liza,Phoebe,Anabel,Mauville,0,Uxie,Candice,0,Aaron,Dahlia,Eterna,Eelektross,Lenora,Caitlin,Opelucid,Trevenant,Clemont,Siebold,Santalune,Pyukumuku,Olivia,Malie,Persian,Pangoro,Rayquaza,Arbok,Marowak,Aerodactyl,Scizor,Gengar,Steelix,Ninetales,Vaporeon,Leafeon,Pichu,Espeon,Glaceon,Dialga,Umbreon,Gardevoir,Squirtle,Totodile,Mudkip,Chimchar,Tepig,Fenniken,Litten,Old Amber (Aerodactyl),267,Espeon,Articuno,Suicune,Lugia,Rayquaza,Regice,Dialga,Uxie,Virizion,,Reshiram,,,,Mew,Solgaleo,Latias
6/30/2017 15:50:38,Heracross ,Jynx,"Red, Blue, Crystal, Diamond, Pearl, SoulSilver, Black, White, Black 2, White 2, X, Y, Alpha Sapphire, Moon",Alpha Sapphire,Bug,Fairy,Pikachu,Blue,Lance,Pallet,Heracross,Jasmine,Koga,Goldenrod,Sceptile,Norman,Phoebe,,Mauville,83,Dialga,Crasher Wake,781,,,Jubilife,Victini,Elesa,Grimsley,Nimbasa,Pumpkaboo,Clemont,,Lumiose,Mimikyu,,,Bidoof,Heracross,Butterfree,Beedrill,Mamoswine,,Heracross,Pumpkaboo,Scizor,Volcarona,,,Raichu,Espeon,,Flygon,Umbreon,Mimikyu,Squirtle,Cyndaquil,Treecko,Piplup,Snivy,Chespin,Rowlet,Dome (Kabuto),615,Sylveon,Zapdos,Suicune,Lugia,Groudon,Regice,Dialga,Azelf,Terrakion,Landorus,Zekrom,Xerneas,Tapu Koko,,Mew,Lunala,Latios
6/30/2017 15:44:33,Empoleon,,"Blue, Yellow, Silver, Crystal, Emerald, Fire Red, Leaf Green, Diamond, Pearl, Platinum, HeartGold, SoulSilver, Black, White 2, X, Y, Omega Ruby, Alpha Sapphire, Sun, Moon",Alpha Sapphire,Fairy,,Squirtle,Koga,,Lavender,Lugia,Clair,Koga,Goldenrod,,,,,,121,,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squirtle,Cyndaquil,Mudkip,Piplup,Oshawott,Froakie,Popplio,,227,Umbreon,Articuno,Entei,Lugia,Kyogre,Registeel,Giratina,Azelf,,,,Zygarde,,,,,Latios
6/30/2017 15:38:25,Sceptile,Jynx,"Red, Blue, Yellow, Gold, Sapphire, Emerald, Fire Red, Pearl, White, White 2, Moon",Emerald,Grass,Fairy,Jolteon,Blaine,Lorelei,Fuchsia,nium,Jasmine,Koga,Blackthorn,Sceptile,Wattson,Sidney,Anabel,Pacifidlog,0,Gastrodon,Crasher Wake,0,Flint,,Snowpoint,Dewott,Clay,,Anville,Pangoro,,,,Araquanid,Mallow,Konikoni,Spinda,Breloom,Crobat,Crobat,Krookodile,Cradily,Araquanid,Haunter,Magneton,Cyndaquil,Araquanid,Sceptile,Jolteon,Kadabra,Cubchoo,Haxorus,Umbreon,Azumarill,Charmander,Chikorita,Treecko,Turtwig,Oshawott,Chespin,Rowlet,Dome (Kabuto),0,Jolteon,Zapdos,Entei,Ho-oh,Kyogre,Regirock,Palkia,Azelf,Terrakion,,Kyurem,Xerneas,Tapu Lele,Xurkitree,Mew,Cosmog,
6/30/2017 15:37:22,Greninja,Pikachu,"Yellow, Emerald, Diamond, Platinum, Black, White, Black 2, White 2, Y, Omega Ruby, Sun",Omega Ruby,Water,Normal,Eevee,Misty,,,Shuckle,,,,Flygon,,,,,536,Lucario,Candice,379,,,,Zekrom,,Grimsley,Opelucid,Greninja,Valerie,Malva,Kiloude,Pheromosa,,,Slaking,Lucario,Togekiss,Salazzle,Flygon,Shuckle,Shuckle,Aegislash,Aegislash,Volcarona,Greninja,Serperior,Zekrom,Gardevoir,Kyurem,Rayquaza,Greninja,Altaria,Charmander,Totodile,Mudkip,Chimchar,Oshawott,Froakie,Popplio,Armor (Shieldon),459,Umbreon,Articuno,Suicune,Lugia,Groudon,Registeel,Dialga,Azelf,Keldeo,Landorus,Zekrom,Xerneas,Tapu Koko,Pheromosa,Arceus,Lunala,Latios
6/30/2017 15:34:15,Charizard,Sunkern,"Blue, Silver, Ruby, Sapphire, Emerald, Fire Red, Leaf Green, Diamond, Platinum, HeartGold, White, Y, Omega Ruby, Moon",Sun,Dragon,Bug,Kabutops,Koga,Lance,Cerulean,Scizor,Chuck,Bruno,Blackthorn,Swampert,Roxanne,Drake,Greta,Fortree,83,Porygon-Z,Volkner,248,Aaron,Dahlia,Snowpoint,Hydreigon,Clay,Grimsley,Black City/White Forest,Noivern,Valerie,Wikstrom,Couriway,Kommo-o,Nanu,Seafolk,Snorlax,Hitmonchan,Staraptor,Salazzle,Rhydon,Golem,Shedinja,Dusknoir,Aggron,Typhlosion,Octillery,Venusaur,Raichu,Alakazam,Glaceon,Hydreigon,Umbreon,Primarina,Charmander,Cyndaquil,Treecko,Piplup,Oshawott,Chespin,Popplio,Dome (Kabuto),356,Espeon,Zapdos,Entei,Ho-oh,Groudon,Registeel,Dialga,Uxie,Cobalion,Thundurus,Zekrom,Yveltal,Tapu Fini,Kartana,Deoxys,Solgaleo,Latios
6/30/2017 15:31:43,Gardevoir,Tentacool,"Blue, Gold, Crystal, Sapphire, Emerald, Leaf Green, Diamond, HeartGold, Y",Emerald,Psychic,Fairy,Mewtwo,Brock,Lance,Vermilion,Ampharos,Clair,Karen,Goldenrod,Gardevoir,Wallace,Drake,,Ever Grande,536,,,257,,,,,,,,,,,,,,,Snorlax,Machamp,Zapados,Muk,Steelix,Onix,Heracross,Gengar,,,,,,,,,,,Bulbasaur,Cyndaquil,Mudkip,Piplup,,,,,507,Umbreon,Zapdos,Suicune,Lugia,Kyogre,Registeel,Dialga,,,,,,,,,,Latios
6/30/2017 15:27:52,Charmander,Vanillite,"Red, Green, Blue, Yellow, Gold, Emerald, Fire Red, Black",Red,Fire,Bug,Charmander,Blaine,Lance,Vermilion,Umbreon,,,,,,,,,424,,,277,,,,Sawk,Burgh,,Nimbasa,,,,,Popplio,,,Porygon,Hitmonchan,Pidgeotto,Nidoran,Dugtrio,Onyx,Butterfree,Gengar,,Charmander,Dewott,Snivy,Pikachu,Alakazam,,Dragonite,,,Charmander,Cyndaquil,Torchic,,Oshawott,,Rowlet,Dome (Kabuto),459,Jolteon,Articuno,Entei,Lugia,,,,,,,,,,,Mew,,
